rank,delta_rank,country_code,player_name,player_id,points,tournaments_played,region,country,date,draw,year,month,year_month,points_lag_1,rank_lag_1,points_lag_3,rank_lag_3,points_lag_6,rank_lag_6,points_lag_12,rank_lag_12,points_roll_mean_3,points_roll_std_3,points_roll_max_3,points_roll_mean_6,points_roll_std_6,points_roll_max_6,points_roll_mean_12,points_roll_std_12,points_roll_max_12,points_delta_1m,points_delta_3m,points_pct_change_3m,in_top10,top10_streak,points_vs_field_mean,points_vs_field_max,month_sin,month_cos
87,1.0,CAN,Xiaodong Sheng,77143,20130,20.0,Pan America,CANADA,2024-11-26,MS,2024,11,2024-11,20130.0,88.0,19980.0,87.0,19980.0,89.0,19510.0,92.0,20080.0,86.60254037844588,20130.0,20030.0,77.4596669241427,20130.0,20003.333333333332,250.79268270221922,20210.0,0.0,150.0,0.007507507507507505,0,0,0.5091495652726238,0.20289270775383872,-0.5000000000000004,0.8660254037844384
16,1.0,CHN,Lu Guang Zu,77427,57841,20.0,Asia,CHINA,2024-11-26,MS,2024,11,2024-11,57841.0,15.0,57841.0,15.0,56111.0,18.0,63431.0,13.0,57841.0,0.0,57841.0,57552.666666666664,706.2695425024873,57841.0,58041.833333333336,1762.6811104024634,63431.0,0.0,0.0,0.0,0,0,1.4629766520086354,0.5829864435762437,-0.5000000000000004,0.8660254037844384
31,0.0,TPE,Chi Yu Jen,77848,45606,21.0,Asia,CHINESE TAIPEI,2024-11-26,MS,2024,11,2024-11,45606.0,31.0,43316.0,31.0,41666.0,33.0,36996.0,42.0,44079.333333333336,1322.1321164442463,45606.0,43606.0,1316.9662106523497,45606.0,42168.5,2151.4482437314737,45606.0,0.0,2290.0,0.0528673007664604,0,0,1.1535159003389606,0.4596683969111559,-0.5000000000000004,0.8660254037844384
63,0.0,AZE,Ade Resky Dwicahyo,78890,25937,14.0,Europe,AZERBAIJAN,2024-11-26,MS,2024,11,2024-11,25937.0,63.0,26687.0,61.0,26587.0,66.0,28247.0,60.0,26187.0,433.01270189222356,26687.0,26060.333333333332,471.49407914274786,26687.0,27021.166666666668,1070.7385584754718,28247.0,0.0,-750.0,-0.028103571027091823,0,0,0.6560264418517656,0.26142216398466545,-0.5000000000000004,0.8660254037844384
93,2.0,MAS,Sholeh Aidil,79110,19500,9.0,Asia,MALAYSIA,2024-11-26,MS,2024,11,2024-11,19500.0,91.0,19500.0,91.0,19090.0,95.0,20270.0,90.0,19500.0,0.0,19500.0,19295.0,224.56624857712364,19500.0,19382.5,721.6537195283408,20270.0,0.0,0.0,0.0,0,0,0.49321492910164744,0.1965428614604995,-0.5000000000000004,0.8660254037844384
46,0.0,IND,Sathish Kumar Karunakaran,79164,33390,20.0,Asia,INDIA,2024-11-26,MS,2024,11,2024-11,33530.0,46.0,33530.0,45.0,35300.0,43.0,35300.0,45.0,33530.0,0.0,33530.0,34098.333333333336,829.1541875107836,35300.0,34699.166666666664,840.4269297461018,35300.0,-140.0,-140.0,-0.0041753653444676075,0,0,0.844535717061744,0.3365418535469784,-0.5000000000000004,0.8660254037844384
8,1.0,MAS,Lee Zii Jia,81561,76256,19.0,Asia,MALAYSIA,2024-11-26,MS,2024,11,2024-11,77266.0,7.0,77266.0,7.0,80566.0,7.0,83716.0,4.0,77266.0,0.0,77266.0,77816.0,1347.2193585307446,80566.0,80766.0,3212.2634331008358,83716.0,-1010.0,-1010.0,-0.013071726244402448,1,33,1.9287485965936013,0.768593458642659,-0.5000000000000004,0.8660254037844384
75,0.0,INA,Shesar Hiren Rhustavito,81887,23070,12.0,Asia,INDONESIA,2024-11-26,MS,2024,11,2024-11,23070.0,75.0,24300.0,70.0,20940.0,82.0,25480.0,67.0,23480.0,710.1408311032435,24300.0,22951.666666666668,1146.9859051734975,24300.0,22785.0,1540.2272559593277,25480.0,0.0,-1230.0,-0.050617283950617264,0,0,0.5835112007371798,0.23252532378942173,-0.5000000000000004,0.8660254037844384
39,0.0,SGP,Jia Heng Jason Teh,82606,37498,18.0,Asia,SINGAPORE,2024-11-26,MS,2024,11,2024-11,37498.0,39.0,37498.0,38.0,35848.0,41.0,34698.0,46.0,37498.0,0.0,37498.0,37223.0,673.6096792652495,37498.0,36367.166666666664,1424.6049425802744,38428.0,0.0,0.0,0.0,0,0,0.9484396621258244,0.3779468830279903,-0.5000000000000004,0.8660254037844384
79,0.0,KAZ,Dmitriy Panarin,82989,22265,20.0,Asia,KAZAKHSTAN,2024-11-26,MS,2024,11,2024-11,22185.0,79.0,21355.0,81.0,20715.0,84.0,23695.0,76.0,21581.666666666668,527.8573039499704,22185.0,20951.666666666668,796.3332635691348,22185.0,22125.0,1587.3820643379522,23845.0,80.0,910.0,0.04261297120112384,0,0,0.5631502767409323,0.2244116313034883,-0.5000000000000004,0.8660254037844384
