feature,importance
points_delta_1m,1717
points_lag_1,1065
points_pct_change_3m,409
points_delta_3m,321
points_roll_mean_3,244
points_roll_max_3,219
points_vs_field_max,190
points_lag_3,160
top10_streak,157
points_roll_std_3,118
points_roll_max_12,115
points_roll_max_6,102
points_vs_field_mean,72
points_roll_mean_6,62
points_roll_std_6,48
points_roll_std_12,44
points_lag_12,40
points_roll_mean_12,36
rank_lag_1,28
points_lag_6,24
month_cos,20
month_sin,12
rank_lag_12,7
rank_lag_6,6
rank_lag_3,4
