feature,importance
points_vs_field_mean,853
points_delta_1m,537
points_vs_field_max,518
month_cos,459
points_lag_1,380
month_sin,232
points_delta_3m,177
points_pct_change_3m,125
top10_streak,113
points_roll_std_12,110
points_roll_std_6,90
points_roll_std_3,84
points_roll_max_3,83
points_lag_3,71
points_roll_mean_3,70
points_lag_12,64
points_roll_max_6,61
points_lag_6,56
points_roll_mean_12,45
points_roll_max_12,31
rank_lag_6,23
points_roll_mean_6,23
rank_lag_12,21
rank_lag_1,12
rank_lag_3,11
